Subject,gender,exp,TimeRaw,TimeTrimmed,IdleTime,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited_short10,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent,ObjectRevisits20,Revisiting20,ObjectEfficiency20
2_32,F,2,15982,15300,3183,5982.293031656614,337.0,0.6228240569003999,266763.3175999999,4,2,8,8,18,4,30.97503267973856,0.2657699280950165,1.0086957655707014,1,0,7,5,0.0563329141880363,0.0006686399310152,0.1536396158697045,0.0,10,51.25686274509804,0.001337279862030537
2_33,F,2,20559,19634,8562,5431.464961965154,359.0,0.5776501528866291,334392.64379999985,6,4,8,11,16,5,56.66074157074463,0.3222964673366506,1.016558024559641,2,0,4,2,0.0660963483174363,0.0011046743451382,0.1618752026583037,0.0,8,75.02393806661912,0.0014728991268509494
2_34,F,2,16060,15230,3937,5524.013832876748,368.0,0.6343678401048868,392881.15445,4,1,8,5,9,1,11.737294812869337,0.3543172334456198,1.0190644511113591,4,0,10,4,0.0666182256477725,0.0007241111483453,0.1668780760915114,0.0,1,20.358108995403807,0.001448222296690707
2_35,F,2,17975,16379,1916,7183.346991865783,538.0,0.6870376056831783,559933.6333500006,6,2,8,7,11,1,5.999572623481287,0.1279899653449633,1.002738357042382,1,1,0,0,0.0748954492396393,0.0008352652331558,0.1340505443612571,0.0,3,10.809451126442395,0.001113686977541106
2_36,M,2,16068,15381,1537,6889.51461834313,388.0,0.6414602623963925,360969.4597499999,8,1,9,16,23,8,36.73525778557961,0.2726252824584524,1.0137038394091578,3,1,3,1,0.0563174652343376,0.0011611848501925,0.1248403242500608,0.0,14,56.60067615889734,0.0013063329564665942
2_37,F,2,16724,16385,1541,7399.073628924149,515.0,0.6746890898405932,363309.4342000001,8,5,9,12,15,4,16.674702471772964,0.1309005147374651,1.0033441988191365,2,0,0,0,0.0696033079042197,0.0010812164334636,0.1283196572101302,0.0,6,33.6608483368935,0.0012163684876465586
2_38,M,2,17540,16744,1858,7402.615496478605,418.0,0.6434561593103505,326478.6787999999,8,5,9,18,26,10,42.4872790253225,0.2279342830400788,1.0074750951082403,2,0,5,0,0.0564665286477247,0.0010806991128751,0.1511496305158512,0.0,17,71.67158385093168,0.0012157865019845034
2_41,F,2,16377,15579,3206,6043.069985179314,386.0,0.6395100746584542,286082.74855,4,1,5,5,6,1,15.923743500866552,0.3686435402650005,1.0220567177482665,6,1,12,10,0.063874818750514,0.0006619152202125,0.1745792622382504,0.0,1,28.801527697541562,0.0008273940252657253
2_42,M,2,16810,16665,3726,6438.564005906741,460.0,0.6447968594340465,503066.6167499999,6,4,8,8,11,2,15.356915691569156,0.161030624734019,1.0036572981863086,1,0,5,5,0.0714445021557595,0.0009318848107272,0.1315107957602341,0.0,3,33.61320132013201,0.0012425130809697313
2_43,F,2,8377,8211,1283,3453.4220633982027,232.0,0.5848384628055064,229991.19149999967,6,4,7,9,12,3,13.626842041164291,0.0840461223952783,1.0012119822814312,1,0,0,0,0.0671797410629008,0.0017374070964543,0.1235843554830058,0.0,5,22.36560711241018,0.0020269749458633876
2_44,M,2,13815,12944,2363,5263.748731688533,255.0,0.5805153980491555,365154.9081999997,6,3,9,16,18,10,52.62863102595797,0.2569844585690948,1.008805207048817,5,0,0,0,0.0484445616609438,0.001139872039081,0.0834280171912117,0.0,9,76.07200247218789,0.001709808058621547
2_45,F,2,16890,16005,5691,5053.11143374531,307.0,0.6010951388613869,321609.6561000004,6,3,8,13,19,7,32.38369259606373,0.1970231804302913,1.0049251024138874,2,0,1,0,0.0607546467211895,0.0011873872323359,0.1641193468823389,0.0,11,53.00687285223368,0.0015831829764479364
2_46,F,2,15361,15192,4080,5504.6090109368615,354.0,0.6206412342210884,300536.28175,7,2,9,10,13,3,27.19293048973144,0.2153056120841724,1.007561202251031,5,0,1,0,0.0643097446697219,0.0012716616177628,0.1257532341016816,0.0,4,42.48617693522907,0.001634993508552252
2_47,M,2,17052,16886,4530,6119.064499709988,410.0,0.6375327521999422,402657.75555,7,2,9,11,16,4,22.72805874689092,0.2241550888255855,1.0074635060217596,3,1,5,4,0.0670037062069589,0.0011439657157285,0.1469107980552973,0.0,7,39.49804571834656,0.0014708130630795857
2_48,F,2,18222,16763,8838,3900.6106916456047,273.0,0.548962785686403,233297.5328,6,4,7,10,12,4,44.3980791027859,0.2798829228327746,1.0112830360888805,2,0,2,1,0.069989040584008,0.001538220672176,0.1539241684544342,0.0,5,61.70959852055121,0.001794590784205335
2_49,M,2,13972,13529,2646,5390.842865333484,277.0,0.587147889737334,263355.90595,7,4,9,19,21,12,48.24473353536847,0.3201563647645503,1.016926379705741,4,2,10,7,0.0513834305542987,0.0012984982450544,0.1487350786902843,0.0,12,70.16350062827999,0.001669497743641476
2_50,F,2,15934,15644,3690,5962.909333574968,368.0,0.6175470136559255,513843.9799999999,5,4,8,9,15,4,24.82728202505753,0.1299509921789595,1.0026221369204735,2,0,0,0,0.0617148407620297,0.0008385168581797,0.1253422554947164,0.0,7,36.55311940680133,0.001341626973087603
2_51,F,2,18028,17368,7223,5013.133422254523,331.0,0.5924122998117226,287700.7228999997,6,2,8,12,16,6,50.21453247351451,0.3669047599818882,1.01849174286434,5,0,10,10,0.0660265690377619,0.001196856236334,0.1525134685233637,0.0,8,83.92417088899124,0.001595808315112071
2_52,F,2,16513,16041,4657,5623.125877115825,382.0,0.6243537554390219,632972.7292499997,6,3,6,11,14,5,18.85013403154417,0.3958046176424259,1.0222710582724748,1,0,8,7,0.0679337450997865,0.0010670221743421,0.1408274180750755,0.0,8,26.590237516364315,0.0010670221743421969
2_55,F,2,17900,17544,5612,5900.068335083515,344.0,0.6006744617207624,303007.6563000001,6,4,8,14,23,8,66.57763337893297,0.3881304906690771,1.0219295202479757,6,0,14,11,0.0583044094514086,0.0010169373741524,0.1462712119612038,0.0,15,86.9860921112631,0.0013559164988699679
2_56,F,2,17616,16596,3100,6707.664208502951,439.0,0.6493563773423383,644812.8578500007,7,4,9,12,16,5,20.2912147505423,0.1671954056162345,1.0036116796984598,2,0,4,4,0.065447521872592,0.0010435823533215,0.139307155317114,0.0,7,30.768618944323933,0.0013417487399848037
2_57,M,2,16715,16270,1897,7149.737932611033,461.0,0.6563289591839786,376560.55525,8,3,9,9,18,1,14.34843269821758,0.3456502586489879,1.0175164321177932,7,1,12,7,0.0644778877694676,0.0011189221304896,0.1226115931563909,0.0,9,27.094161032575293,0.0012587873968008872
2_58,F,2,16463,16101,5299,5335.344465704597,296.0,0.5763872918863525,304081.25724999985,5,4,8,12,17,7,62.12440221104279,0.2899625017247498,1.010309330841716,7,0,2,2,0.0554790795426007,0.0009371466138952,0.1544940465235317,0.0,9,99.67051735917023,0.0014994345822324526
2_60,M,2,16980,16445,4021,6139.709985841651,401.0,0.6364595875007756,419476.24859999993,6,2,9,9,18,3,20.008695652173916,0.338242964697266,1.0166752393735454,5,1,13,9,0.0653125311984959,0.0009772448558378,0.1441873937057775,0.0,9,29.562845849802372,0.001465867283756767
2_62,M,2,16345,15646,6164,4695.731688963636,276.0,0.5813985659921479,257179.82049999997,5,2,9,9,18,4,38.96465550300396,0.3141666161219696,1.0177867354905183,5,0,1,1,0.0587767824658044,0.0010647967838008,0.1438935123170276,0.0,9,62.55413524223444,0.0019166342108414484
2_64,F,2,17191,16595,9294,3622.265888126216,266.0,0.5035227591523029,373573.0042999999,5,3,9,6,14,1,69.25676408556794,0.2341784737993872,1.0067466808042,4,0,0,0,0.0734346975665004,0.0013803514580169,0.1259056086119523,0.0,5,84.6859294968364,0.002484632624430468
